Middle_Ages,Journal of Medieval History,Journal of Medieval History,History of European Ideas
Neptune,Icarus,Current Biology,Current Biology
Frédéric_Chopin,Progress in Brain Research,Public Relations Review,Public Relations Review
Buddhism,International Encyclopedia of the Social & Behavioral Sciences,Religion,Journal of Medieval History
Muammar_Gaddafi,Nursing Outlook,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Athanasius_of_Alexandria,History of European Ideas,History of European Ideas,Religion
Catalan_language,Language & Communication,Lingua,Lingua
Avicenna,The American Journal of the Medical Sciences,The American Journal of the Medical Sciences,Frontiers of Architectural Research
Windows_8,Digital Investigation,Computer Law & Security Review,Computer Law & Security Review
Dialect,Language Sciences,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Post-punk,Epilepsy & Behavior,Epilepsy & Behavior,City  Culture and Society
Hunter-gatherer,Quaternary International,European Journal of Political Economy,European Journal of Political Economy
Modern_history,Orbis,Orbis,International Encyclopedia of the Social & Behavioral Sciences
Computer_security,Computers & Security,Procedia Computer Science,Procedia Computer Science
Police,Journal of Criminal Justice,Revue Neurologique,Revue Neurologique
Late_Middle_Ages,Journal of Medieval History,Endeavour,Endeavour
Cubism,Cities,New Scientist,New Scientist
Zhejiang,Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,Encyclopedia of Violence  Peace   & Conflict
Alfred_North_Whitehead,European Management Journal,Advances in Applied Mathematics,Advances in Applied Mathematics
Religion_in_ancient_Rome,Journal of Historical Geography,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
Comics,The Journal of Academic Librarianship,Annales de Chirurgie de la Main,Annales de Chirurgie de la Main
Federalism,World Development,The Journal of Socio-Economics,The Journal of Socio-Economics
Estonia,Communist and Post-Communist Studies,Teaching and Teacher Education,Teaching and Teacher Education
Qing_dynasty,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Protestantism,Journal of Medieval History,World Development,World Development
High-definition_television,Telecommunications Policy,Telecommunications Policy,Journal of Atmospheric and Solar-Terrestrial Physics
House_music,Poetics,Frontiers of Architectural Research,Frontiers of Architectural Research
Annelid,Encyclopedia of Biodiversity,Tissue and Cell,Tissue and Cell
Antarctica,Icarus,New Scientist,New Scientist
Ottoman_Empire,Journal of Historical Geography,Communist and Post-Communist Studies,Communist and Post-Communist Studies
YouTube,Information Economics and Policy,Computers in Human Behavior,Computers in Human Behavior
Anthropology,Endeavour,Endeavour,Endeavour
Biodiversity,Earth-Science Reviews,Current Biology,Current Biology
Uranium,Ore Geology Reviews,Ore Geology Reviews,Chemosphere
Mexico_City,Geoforum,Computers  Environment and Urban Systems,Computers  Environment and Urban Systems
Literature,Russian Literature,Russian Literature,Journal of Integrative Medicine
Bermuda,Marine Policy,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Mandolin,Fertility and Sterility,Journal of Medieval History,Journal of Medieval History
Paper,Journal of Cleaner Production,Meat Science,Meat Science
Richard_Feynman,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Nuclear Physics B,Nuclear Physics B
Han_dynasty,Archaeological Research in Asia,Archaeological Research in Asia,Archaeological Research in Asia
Antenna_(radio),Procedia Manufacturing,Acta Astronautica,Acta Astronautica
Greeks,The History of the Family,The History of the Family,The History of the Family
Roman_Republic,Journal of Medieval History,The Extractive Industries and Society,The Extractive Industries and Society
Dog,Preventive Veterinary Medicine,Preventive Veterinary Medicine,Preventive Veterinary Medicine
Architecture,Journal of Archaeological Science: Reports,Journal of Archaeological Science: Reports,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics
Sexual_orientation,Annals of Tourism Research,Annals of Tourism Research,Annals of Tourism Research
Multiracial_American,Social Science Research,Social Science Research,Journal of Anthropological Archaeology
Electric_motor,Control Engineering Practice,Aerospace Science and Technology,Aerospace Science and Technology
Switzerland,International Encyclopedia of the Social & Behavioral Sciences,Research in International Business and Finance,Research in International Business and Finance
