Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,History of European Ideas,The Social Science Journal
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,History of European Ideas,The Social Science Journal
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,History of European Ideas,The Social Science Journal
Neptune,Icarus,Icarus,Endeavour,Acta Astronautica,Acta Astronautica
Frédéric_Chopin,Progress in Brain Research,Progress in Brain Research,Journal of Historical Geography,Public Relations Review,Public Relations Review
Buddhism,Religion,Religion,Research in International Business and Finance,International Journal of Disaster Risk Reduction,International Journal of Disaster Risk Reduction
Muammar_Gaddafi,Undetermined,Orbis,Communist and Post-Communist Studies,World Development,World Development
Athanasius_of_Alexandria,Undetermined,History of European Ideas,History of European Ideas,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
Catalan_language,Journal of Neurolinguistics,Journal of Neurolinguistics,Lingua,Lingua,Lingua
Avicenna,International Journal of Cardiology,International Journal of Cardiology,Morphologie,The American Journal of the Medical Sciences,The American Journal of the Medical Sciences
Windows_8,Digital Investigation,Digital Investigation,Digital Investigation,Digital Investigation,Business Horizons
Dialect,Language & Communication,Language & Communication,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Post-punk,Undetermined,Epilepsy & Behavior,Epilepsy & Behavior,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Hunter-gatherer,Undetermined,Quaternary International,Tourism Management,Quaternary International,Quaternary International
Modern_history,Undetermined,Orbis,Orbis,Explorations in Economic History,Technology in Society
Computer_security,Computers & Security,Computers & Security,New Scientist,Journal of Information Security and Applications,Journal of Information Security and Applications
Police,International Journal of Drug Policy,International Journal of Drug Policy,Biometric Technology Today,International Journal of Law and Psychiatry,International Journal of Law and Psychiatry
Late_Middle_Ages,Journal of Medieval History,Journal of Medieval History,Endeavour,Endeavour,Endeavour
Cubism,Undetermined,Cities,New Scientist,Cities,Cities
Zhejiang,Applied Energy,Applied Energy,Communist and Post-Communist Studies,Pacific-Basin Finance Journal,Pacific-Basin Finance Journal
Alfred_North_Whitehead,European Management Journal,European Management Journal,Advances in Applied Mathematics,Endeavour,Progress in Biophysics and Molecular Biology
Religion_in_ancient_Rome,Journal of Medieval History,Journal of Medieval History,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,Journal of Investigative Dermatology Symposium Proceedings
Comics,The Journal of Academic Librarianship,The Journal of Academic Librarianship,Annales de Chirurgie de la Main,Serials Review,Serials Review
Federalism,Undetermined,Communist and Post-Communist Studies,The Journal of Socio-Economics,Government Information Quarterly,Government Information Quarterly
Estonia,Undetermined,Communist and Post-Communist Studies,Teaching and Teacher Education,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Qing_dynasty,Undetermined,Communist and Post-Communist Studies,Forest Ecology and Management,Journal of Historical Geography,Journal of Historical Geography
Protestantism,Undetermined,Journal of Medieval History,World Development,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
High-definition_television,Telematics and Informatics,Telematics and Informatics,Telecommunications Policy,Safety Science,Safety Science
House_music,Poetics,Poetics,Applied Ocean Research,Applied Ocean Research,Applied Ocean Research
Annelid,Undetermined,Encyclopedia of Biodiversity,Tissue and Cell,Progress in Brain Research,Progress in Brain Research
Antarctica,Undetermined,Science of The Total Environment,New Scientist,Journal of South American Earth Sciences,Science of The Total Environment
Ottoman_Empire,Journal of Historical Geography,Journal of Historical Geography,Communist and Post-Communist Studies,Political Geography,Political Geography
YouTube,Information Economics and Policy,Information Economics and Policy,Information Economics and Policy,Computers in Human Behavior,Computers in Human Behavior
Anthropology,Undetermined,International Encyclopedia of the Social & Behavioral Sciences,Endeavour,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
Biodiversity,Undetermined,Earth-Science Reviews,Current Biology,Earth-Science Reviews,Earth-Science Reviews
Uranium,Undetermined,Ore Geology Reviews,Ore Geology Reviews,Ore Geology Reviews,Ore Geology Reviews
Mexico_City,Geoforum,Geoforum,Computers  Environment and Urban Systems,Cities,Cities
Literature,Undetermined,Russian Literature,Russian Literature,Russian Literature,Russian Literature
