Index,Success,Failed,Error,Time (sec),Time (mins),,0 - 3700 Questions,Success,Failed,Error,Time (hrs)
100,62,38,0,474.952,7.916,,,1237,2362,1,20.617
200,26,74,0,255.258,4.254,,,,,,
300,23,76,1,244.877,4.081,,,,,,
400,26,74,0,216.871,3.615,,,,,,
500,27,73,0,239.616,3.994,,,,,,
600,38,62,0,296.069,4.934,,,,,,
700,27,73,0,231.716,3.862,,,,,,
800,21,79,0,226.878,3.781,,,,,,
900,15,85,0,193.382,3.223,,,,,,
1000,11,89,0,172.890,2.881,,,,,,
1100,15,85,0,187.991,3.133,,,,,,
1200,44,56,0,301.700,5.028,,,,,,
1300,19,81,0,234.651,3.911,,,,,,
1400,20,80,0,199.666,3.328,,,,,,
1500,61,39,0,414.562,6.909,,,,,,
1600,60,40,0,351.116,5.852,,,,,,
1700,38,62,0,278.093,4.635,,,,,,
1800,37,63,0,288.980,4.816,,,,,,
1900,39,61,0,280.099,4.668,,,,,,
2000,41,59,0,295.188,4.920,,,,,,
2100,38,62,0,298.253,4.971,,,,,,
2200,35,65,0,278.303,4.638,,,,,,
2300,30,70,0,252.578,4.210,,,,,,
2400,22,78,0,226.862,3.781,,,,,,
2500,45,55,0,299.241,4.987,,,,,,
2600,34,66,0,264.071,4.401,,,,,,
2700,56,44,0,375.667,6.261,,,,,,
2800,35,65,0,272.816,4.547,,,,,,
2900,25,75,0,236.309,3.938,,,,,,
3000,19,81,0,198.752,3.313,,,,,,
3100,23,77,0,229.209,3.820,,,,,,
3200,31,69,0,260.018,4.334,,,,,,
3300,44,56,0,331.150,5.519,,,,,,
3400,40,60,0,301.175,5.020,,,,,,
3500,57,43,0,346.326,5.772,,,,,,
3600,53,47,0,365.041,6.084,,,,,,
3700,13,87,0,263.293,4.388,,,,,,
3800,0,100,0,257.402,4.290,,,,,,
3900,0,100,0,191.232,3.187,,,,,,
4000,0,100,0,258.638,4.311,,,,,,
4100,0,100,0,242.184,4.036,,,,,,
4200,0,100,0,288.764,4.813,,,,,,
4300,0,100,0,436.553,7.276,,,,,,
4400,0,100,0,336.555,5.609,,,,,,
4500,0,100,0,281.379,4.690,,,,,,
4600,0,100,0,222.176,3.703,,,,,,
4700,0,100,0,332.746,5.546,,,,,,
4800,0,100,0,257.858,4.298,,,,,,
4900,0,100,0,245.470,4.091,,,,,,
5000,0,100,0,240.435,4.007,,,,,,
5100,0,100,0,261.525,4.359,,,,,,
5200,0,100,0,248.414,4.140,,,,,,
5300,0,100,0,269.852,4.498,,,,,,
5400,0,100,0,249.788,4.163,,,,,,
5500,0,100,0,209.483,3.491,,,,,,
5600,0,100,0,202.537,3.376,,,,,,
5700,0,100,0,197.857,3.298,,,,,,
5800,0,100,0,217.870,3.631,,,,,,
5900,0,100,0,219.638,3.661,,,,,,
6000,0,100,0,189.274,3.155,,,,,,
6100,0,100,0,261.772,4.363,,,,,,
6200,0,100,0,262.746,4.379,,,,,,
6300,0,100,0,256.865,4.281,,,,,,
6400,0,100,0,294.488,4.908,,,,,,
6500,0,100,0,253.247,4.221,,,,,,
6600,0,100,0,277.477,4.625,,,,,,
6700,0,100,0,217.542,3.626,,,,,,
6800,0,100,0,212.327,3.539,,,,,,
6900,0,100,0,157.908,2.632,,,,,,
7000,0,100,0,169.973,2.833,,,,,,
7100,0,100,0,162.167,2.703,,,,,,
7200,0,100,0,174.953,2.916,,,,,,
7300,0,100,0,182.661,3.044,,,,,,
7400,0,100,0,238.463,3.974,,,,,,
7500,0,100,0,264.522,4.409,,,,,,
7600,0,100,0,260.604,4.343,,,,,,
7700,0,100,0,244.471,4.075,,,,,,
7800,0,100,0,235.520,3.925,,,,,,
7900,0,100,0,230.740,3.846,,,,,,
8000,0,100,0,233.188,3.886,,,,,,
8100,0,100,0,201.881,3.365,,,,,,
8200,0,100,0,232.236,3.871,,,,,,
8300,0,100,0,269.527,4.492,,,,,,
8400,0,100,0,299.229,4.987,,,,,,
8500,0,100,0,268.642,4.477,,,,,,
8600,0,100,0,229.034,3.817,,,,,,
8700,0,100,0,231.413,3.857,,,,,,
8800,0,100,0,271.175,4.520,,,,,,
8900,0,100,0,256.907,4.282,,,,,,
9000,0,100,0,279.067,4.651,,,,,,
9100,0,100,0,270.755,4.513,,,,,,
9200,0,100,0,237.772,3.963,,,,,,
9300,0,100,0,233.914,3.899,,,,,,
9400,0,100,0,273.710,4.562,,,,,,
9500,0,100,0,281.237,4.687,,,,,,
9600,0,100,0,232.918,3.882,,,,,,
9700,0,100,0,217.575,3.626,,,,,,
9800,0,100,0,301.097,5.018,,,,,,
9900,0,100,0,209.171,3.486,,,,,,
10000,0,100,0,251.270,4.188,,,,,,
10100,0,100,0,191.989,3.200,,,,,,
10200,0,100,0,214.354,3.573,,,,,,
10300,0,100,0,244.247,4.071,,,,,,
10400,0,100,0,229.370,3.823,,,,,,
10500,0,100,0,249.996,4.167,,,,,,
10600,0,100,0,184.908,3.082,,,,,,
10700,0,100,0,177.162,2.953,,,,,,
10800,0,100,0,188.600,3.143,,,,,,
10900,0,100,0,164.424,2.740,,,,,,
11000,0,100,0,209.550,3.492,,,,,,
11100,0,100,0,189.663,3.161,,,,,,
11200,0,100,0,197.029,3.284,,,,,,
11300,0,100,0,175.093,2.918,,,,,,
11400,0,100,0,168.796,2.813,,,,,,
11500,0,100,0,156.858,2.614,,,,,,
11600,0,100,0,226.319,3.772,,,,,,
11700,0,100,0,239.126,3.985,,,,,,
11800,0,100,0,279.400,4.657,,,,,,
11900,0,100,0,264.922,4.415,,,,,,
